task,instance_id,condition,gold_answer,bertscore_f1,bt_bertscore,gpt_orig_answer,gpt_para_answer,gpt_orig_logprob,gpt_para_logprob,llama_orig_answer,llama_para_answer,gemma_orig_answer,gemma_para_answer,gpt_consistent,gpt_orig_correct,gpt_para_correct,gpt_semantic_drift,llama_consistent,llama_orig_correct,llama_para_correct,llama_semantic_drift,gemma_consistent,gemma_orig_correct,gemma_para_correct,gemma_semantic_drift,gpt_logprob_gap
trivia_qa,9012,voice,Apache,0.9775428175926208,0.9673592448234558,Apache,Chiricahua Apache,-0.4159561,-0.635087,The Apache tribe.,The Apache.,Navajo,Navajo Tribe,False,True,True,0.14857405,False,True,True,0.05345112,False,False,False,0.070044756,0.21913089999999996
trivia_qa,9012,formality,Apache,0.9479769468307496,0.9476099014282228,Apache,Apache,-0.4159561,-0.48572665,The Apache tribe.,The Apache.,Navajo,Navajo tribe,True,True,True,-1.1920929e-07,False,True,True,0.05345112,False,False,False,0.07271242,0.06977054999999999
trivia_qa,8024,lexical,Squadron Leader,0.9856611490249634,0.9844139814376832,Squadron Leader,Squadron Leader,-0.11010477,-0.43842244,Flying Officer,Flying Officer,Air Chief Marshal,Air Vice-Marshal,True,True,True,5.9604645e-08,True,False,False,-2.3841858e-07,False,False,False,0.06685084,0.32831767
trivia_qa,8024,syntactic,Squadron Leader,0.9893794059753418,0.9733909368515016,Squadron Leader,Squadron Leader,-0.109583326,-0.18651937,Flying Officer,The rank of Squadron Leader in the Royal Air Force (RAF) corresponds to that of Major in the British Army.,Air Chief Marshal,Air Chief Marshal,True,True,True,5.9604645e-08,False,False,True,0.15614986,True,False,False,1.7881393e-07,0.076936044
trivia_qa,8024,voice,Squadron Leader,0.996086359024048,0.9733909368515016,Squadron Leader,Squadron Leader,-0.11010477,-0.12586989,Flying Officer,Flying Officer,Air Chief Marshal,Air Chief Marshal (ACM),True,True,True,5.9604645e-08,True,False,False,-2.3841858e-07,False,False,False,0.06221062,0.015765120000000007
trivia_qa,8024,formality,Squadron Leader,0.9589456915855408,0.9733909368515016,Squadron Leader,Squadron Leader,-0.16628112,-0.4077219,Flying Officer,Captain,Air Chief Marshal,Air Chief Marshal (ACM),True,True,True,5.9604645e-08,False,False,False,0.07477379,False,False,False,0.06221062,0.24144078000000002
trivia_qa,7314,lexical,VICTORIA,0.972973644733429,0.9584006667137146,Victoria,Victoria,-0.005180628,-0.0065637953,"Vancouver. The capital city of British Columbia, Canada is Vancouver. It's located on the southern coast of the province and serves as its largest city and economic center.",The capital city of British Columbia is Victoria.,Vancouver,Vancouver,True,True,True,2.3841858e-07,False,False,True,0.08148056,True,False,False,0.0,0.0013831673000000008
trivia_qa,7314,syntactic,VICTORIA,0.955108106136322,0.953441858291626,Victoria,Victoria,-0.005180628,-0.005128208,"Vancouver. The capital city of British Columbia, Canada is Vancouver. It's located on the southern coast of the province and serves as its largest city and economic center.",The capital city of the Canadian province of British Columbia is called Victoria.,Vancouver,Vancouver. ,True,True,True,2.3841858e-07,False,False,True,0.078499675,False,False,False,0.016370773,-5.24199999999992e-05
trivia_qa,7314,voice,VICTORIA,0.9676668047904968,0.9570932984352112,Victoria,Victoria,-0.0059847278,-0.003705539,"Vancouver. The capital city of British Columbia, Canada is Vancouver. It's located on the southern coast of the province and serves as its largest city and economic center.","Victoria. The capital city of British Columbia, Canada is Victoria. It's located on Vancouver Island and serves as the provincial capital.",Vancouver,"Vancouver, BC. ",True,True,True,2.3841858e-07,False,False,True,0.03947586,False,False,False,0.04543847,-0.0022791888
trivia_qa,7314,formality,VICTORIA,0.9683635234832764,0.9570932984352112,Victoria,Victoria,-0.0059847278,-0.007998026,"Vancouver. The capital city of British Columbia, Canada is Vancouver. It's located on the southern coast of the province and serves as its largest city and economic center.","Victoria. The capital city of British Columbia, Canada is Victoria. It was founded in 1852 and named after Queen Victoria. Today, it serves as the provincial capital and home to many government offices, including the BC Legislature. Victoria is",Vancouver,"Vancouver, BC. ",True,True,True,2.3841858e-07,False,False,True,0.085057914,False,False,False,0.04543847,0.0020132982000000002
trivia_qa,4572,lexical,Tobacco or alcohol,0.9692822098731996,0.9874711632728576,Smoking,Smoking,-0.14764316,-0.29721567,Smoking.,Smoking.,smoking. ,alcohol use. ,True,False,False,1.1920929e-07,True,False,False,2.3841858e-07,False,False,False,0.052223384,0.14957251
trivia_qa,4572,syntactic,Tobacco or alcohol,0.94664466381073,0.9426551461219788,Smoking,Yes.,-0.13140607,-0.5889093,Smoking.,Quitline is a system of centers that helps people to quit smoking.,smoking. ,"Quitline is a system of centers designed to assist individuals in quitting smoking. It provides support, resources, and information on various aspects of quitting smoking, including counseling, education, and referral services. The goal is to help smokers achieve long-term cessation and",False,False,False,0.10711712,False,False,False,0.11140233,False,False,False,0.14217597,0.4575032299999999
trivia_qa,4572,voice,Tobacco or alcohol,0.9442782402038574,0.9426551461219788,Smoking,Yes.,-0.14764316,-0.52922136,Smoking.,Quitline is a system of centers to help people quit smoking.,smoking. ,"Quitline is a system of centers designed to assist individuals in quitting smoking. It provides support, resources, and information on various aspects of quitting smoking, including counseling, education, and referral services. The goal is to help smokers achieve long-term cessation and",False,False,False,0.10711712,False,False,False,0.11207312,False,False,False,0.14217597,0.3815782
trivia_qa,4572,formality,Tobacco or alcohol,0.9045294523239136,0.9021794199943542,Smoking,Smoking.,-0.08769704,-0.008302147,Smoking.,Quitline centers help people quit smoking.,smoking. ,Alcohol and drug addiction treatment services. ,False,False,False,0.014120698,False,False,False,0.100568414,False,False,False,0.113007724,-0.07939489300000001
trivia_qa,3358,lexical,E,0.9691940546035768,0.9579668641090392,E (E4),E6,-0.0052762115,-0.033705987,The top string on a six-string guitar is typically tuned to E.,"The highest string on a six-string guitar is typically adjusted to A440. This note corresponds to middle C, and it's commonly used as the standard tuning for classical guitars. However, different tunings are also possible depending on the style of",E,12th string. ,False,True,True,0.06395954,False,True,True,0.0809558,False,True,False,0.10774958,0.0284297755
trivia_qa,3358,syntactic,E,0.9878952503204346,0.9867460131645204,E (E4),E (E4),-0.0057780505,-0.0034789052,The top string on a six-string guitar is typically tuned to E.,The top string on a six-string guitar is typically tuned to E.,E,E,True,True,True,0.0,True,True,True,0.0,True,True,True,1.1920929e-07,-0.0022991452999999995
trivia_qa,3358,voice,E,0.9878952503204346,0.9867460131645204,E (E4),E (E4),-0.0052762115,-0.0034726132,The top string on a six-string guitar is typically tuned to E.,The top string on a six-string guitar is typically tuned to E.,E,E,True,True,True,0.0,True,True,True,0.0,True,True,True,1.1920929e-07,-0.0018035983000000001
trivia_qa,3358,formality,E,0.9736559391021729,0.9546629786491394,E (E4),E (high E),-0.0052739573,-0.015995773,The top string on a six-string guitar is typically tuned to E.,A440,E,E,False,True,True,0.08158964,False,True,False,0.17482603,True,True,True,1.1920929e-07,0.010721815700000002
trivia_qa,17870,lexical,JFK Assassination,0.9738622903823853,0.9788458347320556,The assassination of President John F. Kennedy.,The assassination of President John F. Kennedy.,-0.016491769,-0.011226542,Assassination of President John F. Kennedy,Assassination of President John F. Kennedy,Watergate scandal,The Watergate Scandal. ,True,False,False,0.0,True,False,False,1.1920929e-07,False,False,False,0.068110526,-0.005265226999999999
trivia_qa,17870,syntactic,JFK Assassination,0.9587504863739014,0.9544631838798524,The assassination of President John F. Kennedy.,The assassination of President John F. Kennedy.,-0.016491769,-0.10429293,Assassination of President John F. Kennedy,assassination of President John F. Kennedy,Watergate scandal,Watergate scandal. ,True,False,False,0.0,True,False,False,0.02074802,False,False,False,0.013880968,0.087801161
trivia_qa,17870,voice,JFK Assassination,0.9606446623802184,0.9473569989204408,The assassination of President John F. Kennedy.,The assassination of President John F. Kennedy.,-0.016491769,-0.07330201,Assassination of President John F. Kennedy,The assassination of President John F. Kennedy.,Watergate scandal,Watergate scandal. ,True,False,False,0.0,False,False,False,0.026516795,False,False,False,0.013880968,0.056810241
trivia_qa,17870,formality,JFK Assassination,0.8967860341072083,0.8967860341072083,The assassination of President John F. Kennedy.,The assassination of President John F. Kennedy.,-0.016088687,-0.01224485,Assassination of President John F. Kennedy,The Warren Commission was established in 1963 to investigate the assassination of President John F. Kennedy.,Watergate scandal,"The Warren Commission was set up to investigate the 1962 Oklahoma City bombing. It was created by President Lyndon B. Johnson and included members from both sides of the political spectrum, including former FBI Director J. Edgar Hoover and former Attorney",True,False,False,0.0,False,False,False,0.0769546,False,False,False,0.16571563,-0.003843837000000001
trivia_qa,2848,lexical,Syria,0.9643332958221436,0.9518198370933532,Syria,Syria,-0.0006517939,-0.00064738706,"Syria. The hoax blog ""A Gay Girl in Damascus"" was created as part of a larger online campaign against Syrian President Bashar al-Assad's regime during the Arab Spring protests in 2011. It falsely claimed that Amina Abdallah Al","Syria. The blog ""A Homosexual Woman in Damascus"" was created as a hoax by Syrian blogger Amina Abdallah Alaf al Omari, who claimed that she had been kidnapped in Syria in June 2011. However, it",Syria,Syria,True,True,True,-1.1920929e-07,False,True,True,0.09278667,True,True,True,4.7683716e-07,-4.406839999999989e-06
trivia_qa,2848,syntactic,Syria,0.9631966948509216,0.9364534020423888,Syria,A Gay Girl in Damascus,-0.0006517939,-0.36479115,"Syria. The hoax blog ""A Gay Girl in Damascus"" was created as part of a larger online campaign against Syrian President Bashar al-Assad's regime during the Arab Spring protests in 2011. It falsely claimed that Amina Abdallah Al","""The Onion"" Answer:",Syria,"""A Gay Girl in Damascus"" is the title of Amina Abdallah Alaf al Omari's hoax blog. It was created as part of her campaign for women's rights and freedom, claiming to have been kidnapped and abductee in June",False,True,False,0.120036066,False,True,False,0.17562431,False,True,False,0.1826824,0.36413935610000003
trivia_qa,2848,voice,Syria,0.9504079222679138,0.9275038242340088,Syria,Syria,-0.0006517939,-0.0020228548,"Syria. The hoax blog ""A Gay Girl in Damascus"" was created as part of a larger online campaign against Syrian President Bashar al-Assad's regime during the Arab Spring protests in 2011. It falsely claimed that Amina Abdallah Al","Syria. The fictional character Amina Abdallah Alaf al Omari is from Syria, where she was allegedly abducted in June 2011. The hoax blog ""A Gay Girl in Damascus"" was created as part of the campaign against Syrian",Syria,Syria,True,True,True,-1.1920929e-07,False,True,True,0.08626473,True,True,True,4.7683716e-07,0.0013710609
trivia_qa,2848,formality,Syria,0.9382085204124452,0.9261144399642944,Syria,"Damascus, Syria",-0.0006517939,-0.90540415,"Syria. The hoax blog ""A Gay Girl in Damascus"" was created as part of a larger online campaign against Syrian President Bashar al-Assad's regime during the Arab Spring protests in 2011. It falsely claimed that Amina Abdallah Al","Syria. The blogger was reportedly abducted from her home in Damascus, Syria.",Syria,Syria. ,False,True,True,0.086247206,False,True,True,0.1278286,False,True,True,0.011053681,0.9047523560999999
trivia_qa,13825,lexical,Forum,0.9862220883369446,0.9879017472267152,The Roman Forum.,The Forum.,-0.0803371,-0.042512964,The Roman Forum.,The Roman Forum.,"The Colosseum in Rome, Italy. ","The Forum in Rome, Italy. ",False,True,True,0.055519402,True,True,True,1.1920929e-07,False,False,True,0.04755658,-0.037824135999999994
trivia_qa,13825,syntactic,Forum,0.953848361968994,0.9999997615814208,The Roman Forum.,The Forum.,-0.0803371,-0.050610814,The Roman Forum.,The Roman Forum.,"The Colosseum in Rome, Italy. ",Colosseum,False,True,True,0.055519402,True,True,True,1.1920929e-07,False,False,False,0.06878799,-0.029726285999999998
trivia_qa,13825,voice,Forum,0.9999997615814208,0.9999997615814208,The Roman Forum.,The Roman Forum.,-0.08077407,-0.12457787,The Roman Forum.,The Roman Forum.,"The Colosseum in Rome, Italy. ","The Colosseum in Rome, Italy. ",True,True,True,0.0,True,True,True,1.1920929e-07,True,False,False,1.1920929e-07,0.04380379999999999
trivia_qa,13825,formality,Forum,0.9437333941459656,0.9432805776596068,The Roman Forum.,The Forum.,-0.0803371,-0.84169775,The Roman Forum.,"Ancient Romans typically gathered at the forum, which was their central marketplace and meeting place. The forum served as a hub for commerce, politics, and social gatherings. It was also where important decisions were made by the Senate and other governing bodies. People would","The Colosseum in Rome, Italy. ",The Forum. ,False,True,True,0.055519402,False,True,True,0.11894292,False,False,True,0.111100495,0.7613606500000001
trivia_qa,1041,lexical,Hedgehog,0.9860665202140808,0.9594109058380128,A bird,A bird,-0.85763186,-1.4590273,Yona in 'Watership Down' is a rabbit.,Yona in 'Watership Down' is a rabbit.,"The answer to the trivia question ""In the novel 'Watership Down', Yona is what type of creature?"" is that in the novel ""Watership Down"" by Richard Adams, Yona is a type of bird. Specifically, it","The answer to the trivia question ""In the novel 'Watership Down', Yona is what category of animal?"" is that in the novel ""Watership Down"" by Richard Adams, Yona is classified as a bird. Specifically, it",True,False,False,0.0,True,False,False,5.9604645e-08,False,False,False,0.016862571,0.60139544
trivia_qa,1041,syntactic,Hedgehog,0.9545818567276,0.9545818567276,A bird,A rabbit,-0.85763186,-0.9349444,Yona in 'Watership Down' is a rabbit.,rabbit.,"The answer to the trivia question ""In the novel 'Watership Down', Yona is what type of creature?"" is that in the novel ""Watership Down"" by Richard Adams, Yona is a type of bird. Specifically, it","The creature in the novel ""Watership Down"" is called the ""Yona."" It's a large, reptilian bird-like creature that lives among the trees and plays an important role in the story. The Yona is known for its sharp",False,False,False,0.041386366,False,False,False,0.13374877,False,False,False,0.10593462,0.07731253999999999
trivia_qa,1041,voice,Hedgehog,0.9719944596290588,0.953891396522522,A bird,A rabbit,-0.85763186,-0.75881904,Yona in 'Watership Down' is a rabbit.,rabbit.,"The answer to the trivia question ""In the novel 'Watership Down', Yona is what type of creature?"" is that in the novel ""Watership Down"" by Richard Adams, Yona is a type of bird. Specifically, it","The creature in 'Watership Down' is a wolf. It's one of the main antagonists and a key character in the story. Yona, who is also known as the ""Wolf of Watership Down,"" is a young wolf that",False,False,False,0.041386366,False,False,False,0.13374877,False,False,False,0.107937634,-0.09881282000000002
trivia_qa,1041,formality,Hedgehog,0.9627457857131958,0.9639807343482972,A bird,A bird.,-0.85763186,-1.0393258,Yona in 'Watership Down' is a rabbit.,rabbit.,"The answer to the trivia question ""In the novel 'Watership Down', Yona is what type of creature?"" is that in the novel ""Watership Down"" by Richard Adams, Yona is a type of bird. Specifically, it",A rabbit. ,False,False,False,0.03065759,False,False,False,0.13374877,False,False,False,0.14648122,0.18169394000000005
trivia_qa,976,lexical,K,0.9647727608680724,0.9793188571929932,CDN,KH,-1.3093174,-2.1545217,"The international vehicle registration for Cambodia is known as the ""Vehicle Identification Number"" or VIN. It consists of 17 characters and includes information about the make, model, year, engine type, and other details of the vehicle. This number is used","The Global Automobile Registration for Cambodia is known as ""Khmer Plate"". It was introduced in 2013 to replace the old system of vehicle registration. This new system uses a unique alphanumeric code that includes letters and numbers, making it easier for","The International Vehicle Registration (IVR) for Cambodia is called ""VAT"" or ""VAT-1"". ","The Global Automobile Registration (GAR) for Cambodia is called ""CMM"" or Cambodian Motor Manufacturers. It's an official registration system used by car manufacturers in Cambodia to ensure compliance with local regulations and standards. ",False,False,True,0.07182914,False,True,True,0.12089741,False,False,False,0.11112684,0.8452043
trivia_qa,976,syntactic,K,0.9489324688911438,0.9456260800361632,CDN,"Yes, it is ""KHM.""",-1.3093174,-0.80732846,"The international vehicle registration for Cambodia is known as the ""Vehicle Identification Number"" or VIN. It consists of 17 characters and includes information about the make, model, year, engine type, and other details of the vehicle. This number is used","The international vehicle registration number for Cambodia is VCN. To find out more information, visit the official website of the Ministry of Interior in Cambodia.","The International Vehicle Registration (IVR) for Cambodia is called ""VAT"" or ""VAT-1"". ","Yes, the international vehicle registration for Cambodia is the Cambodian National Identity Card (CNIC). It's also known as the ""National ID"" or simply the ""ID."" The CNIC is issued by the Ministry of Public Security and can be used",False,False,True,0.12983626,False,True,False,0.12494826,False,False,True,0.13110846,-0.50198894
trivia_qa,976,voice,K,1.0,0.9905075430870056,CD,CDN,-1.3369247,-1.0367075,"The international vehicle registration for Cambodia is known as the ""Vehicle Identification Number"" or VIN. It consists of 17 characters and includes information about the make, model, year, engine type, and other details of the vehicle. This number is used","The international vehicle registration for Cambodia is known as the ""Vehicle Identification Number"" or VIN. It consists of 17 characters and includes information about the make, model, year, engine type, and other details of the vehicle. This number is used","The International Vehicle Registration (IVR) for Cambodia is called ""VAT"" or ""VAT-1"". ","The International Vehicle Registration (IVR) for Cambodia is called ""VAT"" or ""VAT-1"". ",False,False,False,0.09922618,True,True,True,1.7881393e-07,True,False,False,5.9604645e-08,-0.3002172000000001
trivia_qa,976,formality,K,0.9925997853279114,0.9905075430870056,CDN,KH,-1.3093174,-0.5285935,"The international vehicle registration for Cambodia is known as the ""Vehicle Identification Number"" or VIN. It consists of 17 characters and includes information about the make, model, year, engine type, and other details of the vehicle. This number is used","The international vehicle registration code for Cambodia is CM. To find out more, you can visit the official website of the Ministry of Interior in Cambodia or contact their customer service department directly.","The International Vehicle Registration (IVR) for Cambodia is called ""VAT"" or ""VAT-1"". ",VAC,False,False,True,0.07182914,False,True,False,0.13845325,False,False,False,0.16862583,-0.7807239
trivia_qa,3070,lexical,Poker,0.9691365361213684,0.9562994837760924,Poker,Poker,-0.0025684028,-0.020029536,"Poker. In poker, players use their face expressions as clues to the strength of their hand and can also be used to convey information about what they know or don't know without speaking. The term ""tell"" is derived from this practice.","Poker. In poker, a tell is an observable clue that can be used by other players to guess the player's hand strength or intentions. Figuratively, it can also refer to a deliberately blank or neutral facial expression made during a performance or speech","Writing. In writing, a ""tell"" is a hint or indication that someone will write something down later. It's often used as a metaphor for an intentional blank face when someone is about to start writing. This can be particularly useful in creative writing",A 'tell' is a hint in an action that refers figuratively to a purposely empty facial expression. ,True,True,True,0.0,False,True,True,0.11507863,False,False,False,0.107418776,0.0174611332
trivia_qa,3070,syntactic,Poker,0.9395554661750792,0.9250627756118774,Poker,Poker,-0.0025684028,-0.007990813,"Poker. In poker, players use their face expressions as clues to the strength of their hand and can also be used to convey information about what they know or don't know without speaking. The term ""tell"" is derived from this practice.","The activity is crossword puzzles. To solve the crossword, one must decipher clues and fill in the blanks accordingly. A ""tell"" in this context could be referring to a clue that requires filling in a blank space on the grid of the puzzle.","Writing. In writing, a ""tell"" is a hint or indication that someone will write something down later. It's often used as a metaphor for an intentional blank face when someone is about to start writing. This can be particularly useful in creative writing",Tell-tale signs. ,True,True,True,0.0,False,True,False,0.15691465,False,False,False,0.14799726,0.0054224102
trivia_qa,3070,voice,Poker,0.947388231754303,0.9206852912902832,Poker,Poker,-0.0035909219,-0.004067952,"Poker. In poker, players use their face expressions as clues to the strength of their hand and can also be used to convey information about what they know or don't know without speaking. The term ""tell"" is derived from this practice.",The activity where a tell refers to a deliberately blank facial expression is poker.,"Writing. In writing, a ""tell"" is a hint or indication that someone will write something down later. It's often used as a metaphor for an intentional blank face when someone is about to start writing. This can be particularly useful in creative writing",Tell-tale signs. ,True,True,True,0.0,False,True,True,0.14820743,False,False,False,0.14799726,0.00047703009999999985
trivia_qa,3070,formality,Poker,0.8827242255210876,0.8827242255210876,Poker,To reveal or disclose information.,-0.0025908737,-0.5072935,"Poker. In poker, players use their face expressions as clues to the strength of their hand and can also be used to convey information about what they know or don't know without speaking. The term ""tell"" is derived from this practice.","In the context of a game where players are trying to guess someone's true feelings or intentions, such as in poker, ""tell"" refers to subtle cues or behaviors that reveal a player's true thoughts or emotions. These can include facial expressions, body","Writing. In writing, a ""tell"" is a hint or indication that someone will write something down later. It's often used as a metaphor for an intentional blank face when someone is about to start writing. This can be particularly useful in creative writing",Poker face. ,False,True,False,0.19535649,False,True,True,0.12442541,False,False,True,0.14733553,0.5047026263
trivia_qa,7164,lexical,Doncaster/Sheffield,0.9607622027397156,0.9574146270751952,Doncaster,Doncaster,-0.00574403,-0.009622449,"Nottingham and Leicester. Robin Hood Airport serves both Nottingham and Leicester, two major cities in England.",Nottingham. Robin Hood Airport serves the city of Nottingham in England.,"Nottingham, England. ",Nottingham,True,False,False,5.9604645e-08,False,False,False,0.050633788,False,False,False,0.0443058,0.003878419
trivia_qa,7164,syntactic,Doncaster/Sheffield,0.9473667740821838,0.9555370211601256,Doncaster,Doncaster or Sheffield,-0.00574403,-0.02054761,"Nottingham and Leicester. Robin Hood Airport serves both Nottingham and Leicester, two major cities in England.","Nottingham and Leicester. Robin Hood Airport serves both Nottingham and Leicester, making it possible to name either city after the legendary English outlaw.","Nottingham, England. ","Yes, both cities are named after Robin Hood. The city of Balaclava is named after the legendary outlaw and hero of the same name. The city of Lancaster is named after Sir Walter Raleigh, who was known for his support of the English",False,False,False,0.043924868,False,False,False,0.06448215,False,False,False,0.17287451,0.01480358
trivia_qa,7164,voice,Doncaster/Sheffield,0.9473667740821838,0.9555370211601256,Doncaster,Doncaster or Sheffield,-0.0067601297,-0.014529669,"Nottingham and Leicester. Robin Hood Airport serves both Nottingham and Leicester, two major cities in England.","Nottingham and Leicester. Robin Hood Airport serves both Nottingham and Leicester, making it possible to name either city after the legendary English outlaw.","Nottingham, England. ","Yes, both cities are named after Robin Hood. The city of Balaclava is named after the legendary outlaw and hero of the same name. The city of Lancaster is named after Sir Walter Raleigh, who was known for his support of the English",False,False,False,0.043924868,False,False,False,0.06448215,False,False,False,0.17287451,0.0077695393
trivia_qa,7164,formality,Doncaster/Sheffield,0.9302904009819032,0.9400904178619384,Doncaster,Doncaster,-0.0058639706,-0.011343472,"Nottingham and Leicester. Robin Hood Airport serves both Nottingham and Leicester, two major cities in England.","Yes, I can. Robin Hood Airport serves the city of Nottingham in England.","Nottingham, England. ","Nottingham, England. ",True,False,False,5.9604645e-08,False,False,False,0.08091259,True,False,False,5.9604645e-08,0.0054795014000000005
