task,instance_id,condition,gold_answer,bertscore_f1,bt_bertscore,gpt_orig_answer,gpt_para_answer,gpt_orig_logprob,gpt_para_logprob,llama_orig_answer,llama_para_answer,gemma_orig_answer,gemma_para_answer
trivia_qa,2848,voice,Syria,0.9504079222679138,0.9275038242340088,Syria,Syria,-0.0006517939,-0.0020228548,"Syria. The hoax blog ""A Gay Girl in Damascus"" was created as part of a larger online campaign against Syrian President Bashar al-Assad's regime during the Arab Spring protests in 2011. It falsely claimed that Amina Abdallah Al","Syria. The fictional character Amina Abdallah Alaf al Omari is from Syria, where she was allegedly abducted in June 2011. The hoax blog ""A Gay Girl in Damascus"" was created as part of the campaign against Syrian",Syria,Syria
trivia_qa,2848,formality,Syria,0.9382085204124451,0.9261144399642944,Syria,"Damascus, Syria",-0.0006517939,-0.90540415,"Syria. The hoax blog ""A Gay Girl in Damascus"" was created as part of a larger online campaign against Syrian President Bashar al-Assad's regime during the Arab Spring protests in 2011. It falsely claimed that Amina Abdallah Al","Syria. The blogger was reportedly abducted from her home in Damascus, Syria.",Syria,Syria. 
trivia_qa,13825,lexical,Forum,0.9862220883369446,0.9879017472267151,The Roman Forum.,The Forum.,-0.0803371,-0.042512964,The Roman Forum.,The Roman Forum.,"The Colosseum in Rome, Italy. ","The Forum in Rome, Italy. "
trivia_qa,13825,syntactic,Forum,0.9538483619689941,0.9999997615814209,The Roman Forum.,The Forum.,-0.0803371,-0.050610814,The Roman Forum.,The Roman Forum.,"The Colosseum in Rome, Italy. ",Colosseum
trivia_qa,13825,voice,Forum,0.9999997615814209,0.9999997615814209,The Roman Forum.,The Roman Forum.,-0.08077407,-0.12457787,The Roman Forum.,The Roman Forum.,"The Colosseum in Rome, Italy. ","The Colosseum in Rome, Italy. "
trivia_qa,13825,formality,Forum,0.9437333941459656,0.9432805776596069,The Roman Forum.,The Forum.,-0.0803371,-0.84169775,The Roman Forum.,"Ancient Romans typically gathered at the forum, which was their central marketplace and meeting place. The forum served as a hub for commerce, politics, and social gatherings. It was also where important decisions were made by the Senate and other governing bodies. People would","The Colosseum in Rome, Italy. ",The Forum. 
trivia_qa,1041,lexical,Hedgehog,0.9860665202140808,0.9594109058380127,A bird,A bird,-0.85763186,-1.4590273,Yona in 'Watership Down' is a rabbit.,Yona in 'Watership Down' is a rabbit.,"The answer to the trivia question ""In the novel 'Watership Down', Yona is what type of creature?"" is that in the novel ""Watership Down"" by Richard Adams, Yona is a type of bird. Specifically, it","The answer to the trivia question ""In the novel 'Watership Down', Yona is what category of animal?"" is that in the novel ""Watership Down"" by Richard Adams, Yona is classified as a bird. Specifically, it"
trivia_qa,1041,syntactic,Hedgehog,0.9545818567276001,0.9545818567276001,A bird,A rabbit,-0.85763186,-0.9349444,Yona in 'Watership Down' is a rabbit.,rabbit.,"The answer to the trivia question ""In the novel 'Watership Down', Yona is what type of creature?"" is that in the novel ""Watership Down"" by Richard Adams, Yona is a type of bird. Specifically, it","The creature in the novel ""Watership Down"" is called the ""Yona."" It's a large, reptilian bird-like creature that lives among the trees and plays an important role in the story. The Yona is known for its sharp"
trivia_qa,1041,voice,Hedgehog,0.9719944596290588,0.953891396522522,A bird,A rabbit,-0.85763186,-0.75881904,Yona in 'Watership Down' is a rabbit.,rabbit.,"The answer to the trivia question ""In the novel 'Watership Down', Yona is what type of creature?"" is that in the novel ""Watership Down"" by Richard Adams, Yona is a type of bird. Specifically, it","The creature in 'Watership Down' is a wolf. It's one of the main antagonists and a key character in the story. Yona, who is also known as the ""Wolf of Watership Down,"" is a young wolf that"
trivia_qa,1041,formality,Hedgehog,0.9627457857131958,0.9639807343482971,A bird,A bird.,-0.85763186,-1.0393258,Yona in 'Watership Down' is a rabbit.,rabbit.,"The answer to the trivia question ""In the novel 'Watership Down', Yona is what type of creature?"" is that in the novel ""Watership Down"" by Richard Adams, Yona is a type of bird. Specifically, it",A rabbit. 
trivia_qa,976,lexical,K,0.9647727608680725,0.9793188571929932,CDN,KH,-1.3093174,-2.1545217,"The international vehicle registration for Cambodia is known as the ""Vehicle Identification Number"" or VIN. It consists of 17 characters and includes information about the make, model, year, engine type, and other details of the vehicle. This number is used","The Global Automobile Registration for Cambodia is known as ""Khmer Plate"". It was introduced in 2013 to replace the old system of vehicle registration. This new system uses a unique alphanumeric code that includes letters and numbers, making it easier for","The International Vehicle Registration (IVR) for Cambodia is called ""VAT"" or ""VAT-1"". ","The Global Automobile Registration (GAR) for Cambodia is called ""CMM"" or Cambodian Motor Manufacturers. It's an official registration system used by car manufacturers in Cambodia to ensure compliance with local regulations and standards. "
trivia_qa,976,syntactic,K,0.9489324688911438,0.9456260800361633,CDN,"Yes, it is ""KHM.""",-1.3093174,-0.80732846,"The international vehicle registration for Cambodia is known as the ""Vehicle Identification Number"" or VIN. It consists of 17 characters and includes information about the make, model, year, engine type, and other details of the vehicle. This number is used","The international vehicle registration number for Cambodia is VCN. To find out more information, visit the official website of the Ministry of Interior in Cambodia.","The International Vehicle Registration (IVR) for Cambodia is called ""VAT"" or ""VAT-1"". ","Yes, the international vehicle registration for Cambodia is the Cambodian National Identity Card (CNIC). It's also known as the ""National ID"" or simply the ""ID."" The CNIC is issued by the Ministry of Public Security and can be used"
trivia_qa,976,voice,K,1.0,0.9905075430870056,CD,CDN,-1.3369247,-1.0367075,"The international vehicle registration for Cambodia is known as the ""Vehicle Identification Number"" or VIN. It consists of 17 characters and includes information about the make, model, year, engine type, and other details of the vehicle. This number is used","The international vehicle registration for Cambodia is known as the ""Vehicle Identification Number"" or VIN. It consists of 17 characters and includes information about the make, model, year, engine type, and other details of the vehicle. This number is used","The International Vehicle Registration (IVR) for Cambodia is called ""VAT"" or ""VAT-1"". ","The International Vehicle Registration (IVR) for Cambodia is called ""VAT"" or ""VAT-1"". "
trivia_qa,976,formality,K,0.9925997853279114,0.9905075430870056,CDN,KH,-1.3093174,-0.5285935,"The international vehicle registration for Cambodia is known as the ""Vehicle Identification Number"" or VIN. It consists of 17 characters and includes information about the make, model, year, engine type, and other details of the vehicle. This number is used","The international vehicle registration code for Cambodia is CM. To find out more, you can visit the official website of the Ministry of Interior in Cambodia or contact their customer service department directly.","The International Vehicle Registration (IVR) for Cambodia is called ""VAT"" or ""VAT-1"". ",VAC
trivia_qa,3070,lexical,Poker,0.9691365361213684,0.9562994837760925,Poker,Poker,-0.0025684028,-0.020029536,"Poker. In poker, players use their face expressions as clues to the strength of their hand and can also be used to convey information about what they know or don't know without speaking. The term ""tell"" is derived from this practice.","Poker. In poker, a tell is an observable clue that can be used by other players to guess the player's hand strength or intentions. Figuratively, it can also refer to a deliberately blank or neutral facial expression made during a performance or speech","Writing. In writing, a ""tell"" is a hint or indication that someone will write something down later. It's often used as a metaphor for an intentional blank face when someone is about to start writing. This can be particularly useful in creative writing",A 'tell' is a hint in an action that refers figuratively to a purposely empty facial expression. 
trivia_qa,3070,syntactic,Poker,0.9395554661750793,0.9250627756118774,Poker,Poker,-0.0025684028,-0.007990813,"Poker. In poker, players use their face expressions as clues to the strength of their hand and can also be used to convey information about what they know or don't know without speaking. The term ""tell"" is derived from this practice.","The activity is crossword puzzles. To solve the crossword, one must decipher clues and fill in the blanks accordingly. A ""tell"" in this context could be referring to a clue that requires filling in a blank space on the grid of the puzzle.","Writing. In writing, a ""tell"" is a hint or indication that someone will write something down later. It's often used as a metaphor for an intentional blank face when someone is about to start writing. This can be particularly useful in creative writing",Tell-tale signs. 
trivia_qa,3070,voice,Poker,0.947388231754303,0.9206852912902832,Poker,Poker,-0.0035909219,-0.004067952,"Poker. In poker, players use their face expressions as clues to the strength of their hand and can also be used to convey information about what they know or don't know without speaking. The term ""tell"" is derived from this practice.",The activity where a tell refers to a deliberately blank facial expression is poker.,"Writing. In writing, a ""tell"" is a hint or indication that someone will write something down later. It's often used as a metaphor for an intentional blank face when someone is about to start writing. This can be particularly useful in creative writing",Tell-tale signs. 
trivia_qa,3070,formality,Poker,0.8827242255210876,0.8827242255210876,Poker,To reveal or disclose information.,-0.0025908737,-0.5072935,"Poker. In poker, players use their face expressions as clues to the strength of their hand and can also be used to convey information about what they know or don't know without speaking. The term ""tell"" is derived from this practice.","In the context of a game where players are trying to guess someone's true feelings or intentions, such as in poker, ""tell"" refers to subtle cues or behaviors that reveal a player's true thoughts or emotions. These can include facial expressions, body","Writing. In writing, a ""tell"" is a hint or indication that someone will write something down later. It's often used as a metaphor for an intentional blank face when someone is about to start writing. This can be particularly useful in creative writing",Poker face. 
trivia_qa,7164,lexical,Doncaster/Sheffield,0.9607622027397156,0.9574146270751953,Doncaster,Doncaster,-0.00574403,-0.009622449,"Nottingham and Leicester. Robin Hood Airport serves both Nottingham and Leicester, two major cities in England.",Nottingham. Robin Hood Airport serves the city of Nottingham in England.,"Nottingham, England. ",Nottingham
trivia_qa,7164,syntactic,Doncaster/Sheffield,0.9473667740821838,0.9555370211601257,Doncaster,Doncaster or Sheffield,-0.00574403,-0.02054761,"Nottingham and Leicester. Robin Hood Airport serves both Nottingham and Leicester, two major cities in England.","Nottingham and Leicester. Robin Hood Airport serves both Nottingham and Leicester, making it possible to name either city after the legendary English outlaw.","Nottingham, England. ","Yes, both cities are named after Robin Hood. The city of Balaclava is named after the legendary outlaw and hero of the same name. The city of Lancaster is named after Sir Walter Raleigh, who was known for his support of the English"
trivia_qa,7164,voice,Doncaster/Sheffield,0.9473667740821838,0.9555370211601257,Doncaster,Doncaster or Sheffield,-0.0067601297,-0.014529669,"Nottingham and Leicester. Robin Hood Airport serves both Nottingham and Leicester, two major cities in England.","Nottingham and Leicester. Robin Hood Airport serves both Nottingham and Leicester, making it possible to name either city after the legendary English outlaw.","Nottingham, England. ","Yes, both cities are named after Robin Hood. The city of Balaclava is named after the legendary outlaw and hero of the same name. The city of Lancaster is named after Sir Walter Raleigh, who was known for his support of the English"
trivia_qa,7164,formality,Doncaster/Sheffield,0.9302904009819031,0.9400904178619385,Doncaster,Doncaster,-0.0058639706,-0.011343472,"Nottingham and Leicester. Robin Hood Airport serves both Nottingham and Leicester, two major cities in England.","Yes, I can. Robin Hood Airport serves the city of Nottingham in England.","Nottingham, England. ","Nottingham, England. "
trivia_qa,7623,lexical,'CRIMSON TIDE',0.966803789138794,0.9391731023788452,Crimson Tide,Crimson Tide,-0.039512094,-0.02800273,The Shining Sea.,The Shining Sea.,"The Submarine is the 1984 film starring Denzel Washington as Captain James T. ""Rip"" Ripley and Gene Hackman as Captain William ""Billy"" Ripley. This film was directed by Robert Zemeckis and","The Submariner (1964) is the movie you're referring to. It starred Denzel Washington as one of the main characters, played by Gene Hackman, who had intense arguments with his captain. The film was directed by Stanley"
trivia_qa,7623,syntactic,'CRIMSON TIDE',0.9472041130065918,0.9350687861442566,Crimson Tide,Crimson Tide,-0.032196358,-0.02407861,The Shining Sea.,"""The Firm"" (1996)","The Submarine is the 1984 film starring Denzel Washington as Captain James T. ""Rip"" Ripley and Gene Hackman as Captain William ""Billy"" Ripley. This film was directed by Robert Zemeckis and","""The Exorcist"" (1973) directed by Michael Haneke. The film features Denzil Washington as one of its main characters, played by Denzel Washington, who engages in violent disagreements with his Captain, portrayed by"
trivia_qa,7623,voice,'CRIMSON TIDE',0.9520779848098755,0.9373782277107239,Crimson Tide,Crimson Tide,-0.055246696,-0.0120413415,The Shining Sea.,"The film is ""The Hunt for Red October.""","The Submarine is the 1984 film starring Denzel Washington as Captain James T. ""Rip"" Ripley and Gene Hackman as Captain William ""Billy"" Ripley. This film was directed by Robert Zemeckis and",The Terminator franchise. 
trivia_qa,7623,formality,'CRIMSON TIDE',0.9132691621780396,0.9072386622428894,Crimson Tide,Crimson Tide,-0.032196358,-0.042545408,The Shining Sea.,The Shining Sea.,"The Submarine is the 1984 film starring Denzel Washington as Captain James T. ""Rip"" Ripley and Gene Hackman as Captain William ""Billy"" Ripley. This film was directed by Robert Zemeckis and",The Submariner. 
trivia_qa,16559,lexical,CENTS,1.0,0.975399911403656,Cents,Cents,-0.009612762,-0.007530675,"cents. The South African currency unit, the Rand, is divided into a hundred cents.","cents. The South African currency unit, the Rand, is divided into a hundred cents.",pence (p.),pence (p.)
trivia_qa,16559,syntactic,CENTS,0.9569766521453857,0.9546517729759216,Cents,Cents,-0.008418237,-0.0047392454,"cents. The South African currency unit, the Rand, is divided into a hundred cents.","The South African currency unit, the Rand, is divided into 100 cents.",pence (p.),"The South African currency unit, the Rand, is divided into 100 cents. This means that each cent represents one hundredth of the Rand's value. "
trivia_qa,16559,voice,CENTS,0.9569766521453857,0.9546517729759216,Cents,Cents,-0.009612762,-0.005155012,"cents. The South African currency unit, the Rand, is divided into a hundred cents.","The South African currency unit, the Rand, is divided into 100 cents.",pence (p.),"The South African currency unit, the Rand, is divided into 100 cents. This means that each cent represents one hundredth of the Rand's value. "
trivia_qa,16559,formality,CENTS,0.9243106245994568,0.916092038154602,Cents,100 cents,-0.009612762,-0.112513006,"cents. The South African currency unit, the Rand, is divided into a hundred cents.",The Rand is divided into 100 cents. To directly answer the question:,pence (p.),100 Rand
trivia_qa,869,syntactic,Yellow,0.9360699653625488,0.9326303601264954,Yellow,Yellow,-0.019219818,-0.011986572,Yellow.,Yellow.,Red. ,Vermelho (Red)
trivia_qa,869,voice,Yellow,0.9373881816864014,0.8948909044265747,Yellow,Yellow,-0.01559589,-0.016995145,Yellow.,"Yellow. The Portuguese word for yellow is ""amarelo"".",Red. ,Lavender. 
trivia_qa,869,formality,Yellow,0.9225695729255676,0.9251134395599365,Yellow,Yellow,-0.011538401,-0.011252122,Yellow.,Yellow. Amarelo stands for yellow in Portuguese.,Red. ,"Amarelo stands for ""Amor"" in Portuguese, which translates to ""Love"" or ""Heart"" in English. It's the national flower of Brazil and is often associated with love and affection. The rose is also used as a symbol of"
trivia_qa,6515,lexical,Titus,0.9728739261627197,0.9743210077285767,Titus,Titus,-0.014852701,-0.0042366507,Titus,Nerva,Titus the Great,Nero
trivia_qa,6515,syntactic,Titus,0.9877843260765076,0.9861166477203369,Titus,Titus,-0.018051956,-0.029726302,Titus,Titus,Titus the Great,Titus
trivia_qa,6515,voice,Titus,0.9735556840896606,0.9716016054153442,Titus,Titus,-0.018051956,-0.08696786,Titus,Titus,Titus the Great,Titus
trivia_qa,6515,formality,Titus,0.9513787031173706,0.9638029932975769,Titus,Titus,-0.018051956,-0.006937132,Titus,"Nerva. The correct answer is that Nerva succeeded Titus as Roman Emperor in 81 AD, following the death of his brother Domitian. Nerva was known for his moderate policies and reforms during his reign.",Titus the Great,Titus the Younger
trivia_qa,17856,lexical,Peter Parker,0.9437631368637085,0.9404980540275574,Peter Parker,Peter Parker,-0.0017689472,-0.004466439,Peter Parker,Peter Parker,Peter Parker,Peter Parker
trivia_qa,17856,syntactic,Peter Parker,0.9500659108161926,0.930733323097229,Peter Parker,Peter Parker,-0.0017689472,-0.0010842558,Peter Parker,"The alter ego of Spider-Man, who later becomes a newspaper photographer for the Daily Bugle, is Peter Parker.",Peter Parker,Peter Parker (or simply Peter) is the alter ego of Spider-Man. He later becomes a newspaper photographer for the Daily Bugle. 
trivia_qa,17856,voice,Peter Parker,0.9548436999320984,0.941673219203949,Peter Parker,Peter Parker,-0.0017689472,-0.0039641783,Peter Parker,Peter Parker,Peter Parker,Peter Parker (or simply Peter) is the alter ego of Spider-Man. He was initially a newspaper photographer for the Daily Bugle before becoming known as Peter Parker. The comic book character's name has been changed multiple times throughout his career to reflect changes
trivia_qa,17856,formality,Peter Parker,0.9126087427139282,0.9101346731185913,Peter Parker,Peter Parker,-0.0037361837,-0.00045819426,Peter Parker,Peter Parker.,Peter Parker,Peter Parker. 
trivia_qa,13746,lexical,a Well,0.9608250856399536,1.0,The well.,Well.,-0.59973663,-0.7853185,A pit of snakes.,A baby elephant.,The ocean. ,The Great Wall of China
trivia_qa,13746,syntactic,a Well,0.9608250856399536,1.0,The well.,Well.,-0.59973663,-0.6626305,A pit of snakes.,A baby elephant.,The ocean. ,The Great Wall of China
trivia_qa,13746,voice,a Well,0.9608250856399536,1.0,The well.,Well,-0.59973663,-0.6843202,A pit of snakes.,A baby elephant.,The ocean. ,The Great Wall of China
