task,instance_id,condition,original,paraphrase,back_translation,changes_desc,answer,endings,passage,bertscore_f1,bt_bertscore
trivia_qa,2848,formality,"A Gay Girl in Damascus is the title of a hoax blog by fictional feminist/freedom campaigner Amina Abdallah Alaf al Omari, who in June 2011 was said to be based and abducted in which country?","Where was Amina Abdallah Alaf al Omari, the fictional feminist/freedom campaigner behind the hoax blog A Gay Girl in Damascus, reportedly located and abducted in June 2011?","Where was Amina Abdallah Alaf al Omari, the feminist/campaigner for fictional freedom behind the hoax blog A Gay Girl in Damascus, reportedly located and abducted in June 2011?",formal to casual,Syria,,,0.9382085,0.92611444
trivia_qa,13825,lexical,What was the central meeting place of ancient Rome?,What was the primary gathering place of ancient Rome?,What was the main gathering place of ancient Rome?,"['central -> primary', 'meeting -> gathering']",Forum,,,0.9862221,0.98790175
trivia_qa,13825,syntactic,What was the central meeting place of ancient Rome?,The central meeting place of ancient Rome was what?,What was the central meeting place of ancient Rome?,Changed from a question to an embedded question,Forum,,,0.95384836,0.99999976
trivia_qa,13825,voice,What was the central meeting place of ancient Rome?,What was the central meeting place of ancient Rome?,What was the central meeting place of ancient Rome?,active to passive,Forum,,,0.99999976,0.99999976
trivia_qa,13825,formality,What was the central meeting place of ancient Rome?,Where did people in ancient Rome usually meet up?,Where did people generally meet in ancient Rome?,formal to casual,Forum,,,0.9437334,0.9432806
trivia_qa,1041,lexical,"In the novel ‘Watership Down’, Yona is what type of creature?","In the novel ‘Watership Down’, Yona is what category of animal?","In the novel ""Watership Down"", what category of animal is Yona?","['type', 'category', 'creature']",Hedgehog,,,0.9860665,0.9594109
trivia_qa,1041,syntactic,"In the novel ‘Watership Down’, Yona is what type of creature?",What type of creature is Yona in the novel 'Watership Down'?,What type of creature is Yona in the novel 'Watership Down'?,Changed from a question with a prepositional phrase to a question with a subject-auxiliary inversion,Hedgehog,,,0.95458186,0.95458186
trivia_qa,1041,voice,"In the novel ‘Watership Down’, Yona is what type of creature?",What type of creature is Yona in the novel ‘Watership Down’?,"What type of creature is Yona in the novel ""Watership Down""?",active to passive,Hedgehog,,,0.97199446,0.9538914
trivia_qa,1041,formality,"In the novel ‘Watership Down’, Yona is what type of creature?","In the book 'Watership Down', what kind of animal is Yona?","In the book 'Watership Down', what type of animal is Yona?",formal to casual,Hedgehog,,,0.9627458,0.96398073
trivia_qa,976,lexical,What is the International Vehicle Registration for Cambodia?,What is the Global Automobile Registration for Cambodia?,What is the global vehicle registration for Cambodia?,"['International', 'Vehicle', 'Registration']",K,,,0.96477276,0.97931886
trivia_qa,976,syntactic,What is the International Vehicle Registration for Cambodia?,Can you tell me the International Vehicle Registration for Cambodia?,Can you tell me the international vehicle registration for Cambodia?,Changed from a direct question to an embedded question,K,,,0.94893247,0.9456261
trivia_qa,976,voice,What is the International Vehicle Registration for Cambodia?,What is the International Vehicle Registration for Cambodia?,What is the international vehicle registration for Cambodia?,active to passive,K,,,1.0,0.99050754
trivia_qa,976,formality,What is the International Vehicle Registration for Cambodia?,What's the International Vehicle Registration for Cambodia?,What is the international vehicle registration for Cambodia?,casual to formal,K,,,0.9925998,0.99050754
trivia_qa,3070,lexical,"A 'tell' refers to a clue in which activity, which in turn refers metaphorically to an intentionally blank facial expression?","A 'tell' refers to a hint in what action, which in turn refers figuratively to a purposely empty facial expression?","A ""tell"" refers to a clue in an action, which in turn figuratively refers to a deliberately blank facial expression.","['clue', 'activity', 'metaphorically', 'intentionally', 'blank']",Poker,,,0.96913654,0.9562995
trivia_qa,3070,syntactic,"A 'tell' refers to a clue in which activity, which in turn refers metaphorically to an intentionally blank facial expression?",In which activity does a 'tell' refer to a clue that metaphorically refers to an intentionally blank facial expression?,"In which activity does a ""tell"" refer to a clue that metaphorically points to an intentionally neutral facial expression?",changed to an embedded question,Poker,,,0.93955547,0.9250628
trivia_qa,3070,voice,"A 'tell' refers to a clue in which activity, which in turn refers metaphorically to an intentionally blank facial expression?","In which activity is a 'tell' referred to, which in turn is metaphorically referred to an intentionally blank facial expression?","In what activity is a ""tell"" mentioned, which is in turn metaphorically designated by an intentionally neutral facial expression?",active to passive,Poker,,,0.94738823,0.9206853
trivia_qa,3070,formality,"A 'tell' refers to a clue in which activity, which in turn refers metaphorically to an intentionally blank facial expression?","What does 'tell' mean in a game, which is compared to a poker face?","What does 'tell' mean in a game, which is compared to a poker face?",formal to casual,Poker,,,0.8827242,0.8827242
trivia_qa,7164,lexical,Name either of the cities served by Robin Hood airport?,Identify one of the cities served by Robin Hood airport?,Identify one of the cities served by Robin Hood Airport?,"['Name', 'either', 'served', 'by']",Doncaster/Sheffield,,,0.9607622,0.9574146
trivia_qa,7164,syntactic,Name either of the cities served by Robin Hood airport?,Either of the cities served by Robin Hood airport can be named by you?,Can you name one of the cities served by Robin Hood Airport?,Changed from a direct question to an embedded question,Doncaster/Sheffield,,,0.9473668,0.955537
trivia_qa,7164,voice,Name either of the cities served by Robin Hood airport?,Either of the cities served by Robin Hood airport can be named by you?,Can you name one of the cities served by Robin Hood Airport?,active to passive,Doncaster/Sheffield,,,0.9473668,0.955537
trivia_qa,7164,formality,Name either of the cities served by Robin Hood airport?,Can you tell me one of the cities that Robin Hood airport serves?,Can you tell me one of the cities served by Robin Hood Airport?,formal to casual,Doncaster/Sheffield,,,0.9302904,0.9400904
trivia_qa,7623,lexical,"Which film about a submarine had as one of its stars Denzil Washington, whose character had violent disagreements with his Captain played by Gene Hackman?","Which movie about a submarine featured Denzil Washington as one of its actors, whose character had intense arguments with his Captain portrayed by Gene Hackman?","Which submarine movie starred Denzel Washington as one of its actors, whose character had intense arguments with his captain played by Gene Hackman?",,'CRIMSON TIDE',,,0.9668038,0.9391731
trivia_qa,7623,syntactic,"Which film about a submarine had as one of its stars Denzil Washington, whose character had violent disagreements with his Captain played by Gene Hackman?","What film, featuring Denzil Washington as one of its stars, had his character engaging in violent disagreements with his Captain, portrayed by Gene Hackman?","What movie, starring Denzel Washington as one of its stars, had his character engaged in violent disagreements with his captain, played by Gene Hackman?",Changed from a simple question to an embedded question,'CRIMSON TIDE',,,0.9472041,0.9350688
trivia_qa,7623,voice,"Which film about a submarine had as one of its stars Denzil Washington, whose character had violent disagreements with his Captain played by Gene Hackman?","One of its stars was Denzil Washington, whose character had violent disagreements with his Captain played by Gene Hackman in which film about a submarine?","One of its actors was Denzel Washington, whose character had violent disagreements with his captain played by Gene Hackman in which film about a submarine?",active to passive,'CRIMSON TIDE',,,0.952078,0.9373782
trivia_qa,7623,formality,"Which film about a submarine had as one of its stars Denzil Washington, whose character had violent disagreements with his Captain played by Gene Hackman?","What movie with a submarine had Denzil Washington and Gene Hackman as main actors, where their characters didn't get along?","Which movie with a submarine had Denzel Washington and Gene Hackman as the main actors, where their characters did not get along?",formal to casual,'CRIMSON TIDE',,,0.91326916,0.90723866
trivia_qa,16559,lexical,"The South African currency unit, the Rand, is divided into a hundred what?","The South African currency unit, the Rand, is divided into a hundred what?","The Rand, the South African currency, is divided into one hundred what?","['currency', 'divided', 'hundred']",CENTS,,,1.0,0.9753999
trivia_qa,16559,syntactic,"The South African currency unit, the Rand, is divided into a hundred what?","What is the South African currency unit, the Rand, divided into a hundred of?","What is the South African currency unit, the Rand, divided into one hundred?",Changed from a simple question to a prepositional phrase structure,CENTS,,,0.95697665,0.9546518
trivia_qa,16559,voice,"The South African currency unit, the Rand, is divided into a hundred what?","What is the South African currency unit, the Rand, divided into a hundred of?","What is the South African currency unit, the Rand, divided into one hundred?",active to passive,CENTS,,,0.95697665,0.9546518
trivia_qa,16559,formality,"The South African currency unit, the Rand, is divided into a hundred what?","What's the division of the South African currency unit, the Rand?","What is the subdivision of the South African currency unit, the Rand?",formal to casual,CENTS,,,0.9243106,0.91609204
trivia_qa,869,syntactic,Amarelo is Portuguese for which colour?,Which colour is Amarelo in Portuguese?,What color is Amarelo in Portuguese?,Changed from a subject-auxiliary inversion to a standard question structure,Yellow,,,0.93606997,0.93263036
trivia_qa,869,voice,Amarelo is Portuguese for which colour?,Which colour is Portuguese for Amarelo?,What color is Portuguese for yellow?,active to passive,Yellow,,,0.9373882,0.8948909
trivia_qa,869,formality,Amarelo is Portuguese for which colour?,What color does Amarelo stand for in Portuguese?,What color represents Amarelo in Portuguese?,formal to casual,Yellow,,,0.9225696,0.92511344
trivia_qa,6515,lexical,Which Roman Emperor succeeded his father Vespasian in 79?,Who was the Roman Emperor that followed his father Vespasian in 79?,Who was the Roman emperor who succeeded his father Vespasian in 79?,"['Which', 'succeeded', 'his']",Titus,,,0.9728739,0.974321
trivia_qa,6515,syntactic,Which Roman Emperor succeeded his father Vespasian in 79?,"In 79, which Roman Emperor succeeded his father Vespasian?","In 79, which Roman emperor succeeded his father Vespasian?",moved the prepositional phrase 'in 79' to the beginning of the sentence,Titus,,,0.9877843,0.98611665
trivia_qa,6515,voice,Which Roman Emperor succeeded his father Vespasian in 79?,"In 79, which Roman Emperor was succeeded by his father Vespasian?","In 79, which Roman emperor was succeeded by his father Vespasian?",active to passive,Titus,,,0.9735557,0.9716016
trivia_qa,6515,formality,Which Roman Emperor succeeded his father Vespasian in 79?,Who took over after Vespasian as Roman Emperor in 79?,Who succeeded Vespasian as Roman emperor in 79?,formal to casual,Titus,,,0.9513787,0.963803
trivia_qa,17856,lexical,"Eventually a newspaper photographer for the Daily Bugle, what is the alter ego of Spiderman?","In the end, a newspaper photographer for the Daily Bugle, who is the alter ego of Spiderman?","In the end, a press photographer for the Daily Bugle, who is the alter ego of Spiderman?","['Eventually', 'newspaper photographer', 'Daily Bugle', 'what']",Peter Parker,,,0.94376314,0.94049805
trivia_qa,17856,syntactic,"Eventually a newspaper photographer for the Daily Bugle, what is the alter ego of Spiderman?","What is the alter ego of Spiderman, who is eventually a newspaper photographer for the Daily Bugle?","What is Spiderman's alter ego, who is ultimately a press photographer for the Daily Bugle?",moved the relative clause 'who is eventually a newspaper photographer for the Daily Bugle' to the end of the sentence,Peter Parker,,,0.9500659,0.9307333
trivia_qa,17856,voice,"Eventually a newspaper photographer for the Daily Bugle, what is the alter ego of Spiderman?","What is the alter ego of Spiderman, eventually a newspaper photographer for the Daily Bugle?","What is the alter ego of Spiderman, possibly a press photographer for the Daily Bugle?",active to passive,Peter Parker,,,0.9548437,0.9416732
trivia_qa,17856,formality,"Eventually a newspaper photographer for the Daily Bugle, what is the alter ego of Spiderman?","So, like, who is Spiderman's alter ego, you know, the dude who works as a newspaper photographer for the Daily Bugle?","So, who is Spiderman's alter ego, you know, the guy who works as a photographer for the Daily Bugle?",casual to formal,Peter Parker,,,0.91260874,0.9101347
trivia_qa,13746,lexical,What did Tikki Tikki Tembo fall into?,Into what did Tikki Tikki Tembo fall?,What did Tikki Tikki Tembo fall into?,"['What', 'into']",a Well,,,0.9608251,1.0
trivia_qa,13746,syntactic,What did Tikki Tikki Tembo fall into?,Into what did Tikki Tikki Tembo fall?,What did Tikki Tikki Tembo fall into?,Changed to an inverted construction,a Well,,,0.9608251,1.0
trivia_qa,13746,voice,What did Tikki Tikki Tembo fall into?,Into what did Tikki Tikki Tembo fall?,What did Tikki Tikki Tembo fall into?,active to passive,a Well,,,0.9608251,1.0
trivia_qa,13746,formality,What did Tikki Tikki Tembo fall into?,What did Tikki Tikki Tembo fall into?,What did Tikki Tikki Tembo fall into?,formal to casual,a Well,,,1.0,1.0
trivia_qa,7223,lexical,"What was James Herbert’s first book, published in 1974?","Which was James Herbert's initial novel, released in 1974?","What was James Herbert's first novel, released in 1974?","['first', 'initial', 'book', 'novel', 'published', 'released']",Rats,,,0.9702478,0.9846121
trivia_qa,7223,syntactic,"What was James Herbert’s first book, published in 1974?","Published in 1974, what was James Herbert’s first book?","Published in 1974, what was James Herbert's first book?",moved the introductory phrase to the beginning,Rats,,,0.98813903,0.9796885
trivia_qa,7223,voice,"What was James Herbert’s first book, published in 1974?","James Herbert's first book, published in 1974, was what?","What was James Herbert's first book, published in 1974?",passive to active,Rats,,,0.95353687,0.99351907
trivia_qa,7223,formality,"What was James Herbert’s first book, published in 1974?",What was the initial book by James Herbert that came out in 1974?,What was James Herbert's first book released in 1974?,formal to casual,Rats,,,0.95952183,0.9826653
trivia_qa,14719,lexical,Haematite is an ore of which metal?,Haematite is an ore of what metal?,What metal is hematite an ore of?,['which'],Iron,,,0.9870563,0.9332688
trivia_qa,14719,syntactic,Haematite is an ore of which metal?,Which metal is haematite an ore of?,Of what metal is hematite an ore?,Changed to an embedded question,Iron,,,0.952227,0.9305568
trivia_qa,14719,voice,Haematite is an ore of which metal?,Which metal is haematite an ore of?,Of what metal is hematite an ore?,active to passive,Iron,,,0.952227,0.9305568
trivia_qa,14719,formality,Haematite is an ore of which metal?,What metal is haematite an ore of?,Of what metal is hematite an ore?,formal to casual,Iron,,,0.9478777,0.9305568
trivia_qa,9115,lexical,In the car insurance business what do the letters TPFT suggest,In the automobile insurance industry what do the initials TPFT indicate,"In the automobile insurance industry, what do the initials TPFT mean?",,Third Party Fire and Theft,,,0.9426257,0.9329834
trivia_qa,9115,syntactic,In the car insurance business what do the letters TPFT suggest,What do the letters TPFT suggest in the car insurance business?,What do the letters TPFT suggest in the car insurance sector?,Changed from a prepositional phrase to an embedded question,Third Party Fire and Theft,,,0.96185154,0.95545405
trivia_qa,9115,voice,In the car insurance business what do the letters TPFT suggest,What do the letters TPFT suggest in the car insurance business?,What do the letters TPFT suggest in the car insurance sector?,active to passive,Third Party Fire and Theft,,,0.96185154,0.95545405
trivia_qa,9115,formality,In the car insurance business what do the letters TPFT suggest,What do the letters TPFT indicate in the car insurance industry?,What do the letters TPFT mean in the automobile insurance industry?,formal to casual,Third Party Fire and Theft,,,0.9394293,0.9316283
trivia_qa,212,lexical,"What is the name of the cathedral in Red Square, Moscow?","What is the title of the cathedral in Red Square, Moscow?",What is the title of the cathedral on Red Square in Moscow?,"['name', 'cathedral', 'Moscow']",St. Basil's,,,0.9926049,0.984634
trivia_qa,212,syntactic,"What is the name of the cathedral in Red Square, Moscow?","Can you tell me the name of the cathedral located in Red Square, Moscow?",Can you tell me the name of the cathedral located on Red Square in Moscow?,Changed from direct question to indirect question,St. Basil's,,,0.9602621,0.9536172
trivia_qa,212,voice,"What is the name of the cathedral in Red Square, Moscow?","What is the name of the cathedral in Red Square, Moscow?",What is the name of the cathedral on Red Square in Moscow?,active to passive,St. Basil's,,,1.0000001,0.9905806
trivia_qa,212,formality,"What is the name of the cathedral in Red Square, Moscow?","What's the name of the cathedral in Red Square, Moscow?",What is the name of the cathedral on Red Square in Moscow?,formal to casual,St. Basil's,,,0.99506754,0.9905806
trivia_qa,5231,lexical,What is the name of the lake formed in 1932 when the Zuider Zee was cut off from the North Sea by a dyke?,What is the title of the lake created in 1932 when the Zuider Zee was separated from the North Sea by a dyke?,What is the name of the lake created in 1932 when the North Sea was separated from the North Sea by a dike?,"['name', 'formed', 'lake', 'cut off', 'dyke']",Ijsselmeer,,,0.9847621,0.95409167
trivia_qa,5231,syntactic,What is the name of the lake formed in 1932 when the Zuider Zee was cut off from the North Sea by a dyke?,"When was the Zuider Zee cut off from the North Sea by a dyke, forming what lake?","When was the North Sea cut off from the North Sea by a dike, forming which lake?",Changed from a question to an embedded clause,Ijsselmeer,,,0.9528108,0.90995246
trivia_qa,5231,voice,What is the name of the lake formed in 1932 when the Zuider Zee was cut off from the North Sea by a dyke?,When was the Zuider Zee cut off from the North Sea by a dyke to form the lake in 1932?,When was the Zuider Zee cut off from the North Sea by a dike to form the lake in 1932?,active to passive,Ijsselmeer,,,0.95818007,0.9510727
trivia_qa,5231,formality,What is the name of the lake formed in 1932 when the Zuider Zee was cut off from the North Sea by a dyke?,What's the name of the lake that was created in 1932 when they built a dyke to separate the Zuider Zee from the North Sea?,What is the name of the lake that was created in 1932 when a dam was built to separate the North Sea from the Zuider Zee?,formal to casual,Ijsselmeer,,,0.9685933,0.9595485
trivia_qa,13848,lexical,Who was married to Guinevere?,Who was wedded to Guinevere?,Who was married to Guinevere?,"['married', 'wedded']",King Arthur,,,0.98413795,1.0
trivia_qa,13848,syntactic,Who was married to Guinevere?,To whom was Guinevere married?,Who was Guinevere married to?,changed to an embedded question,King Arthur,,,0.9518863,0.96645075
trivia_qa,13848,voice,Who was married to Guinevere?,Who married Guinevere?,Who married Guinevere?,passive to active,King Arthur,,,0.9689119,0.9689119
trivia_qa,13848,formality,Who was married to Guinevere?,Who was Guinevere married to?,Who was Guinevere married to?,formal to casual,King Arthur,,,0.96645075,0.96645075
trivia_qa,11149,lexical,"In February 1987, which UK airline was privatised and listed on the London Stock Exchange?","In February 1987, which UK airline was privatized and listed on the London Stock Exchange?","In February 1987, which British airline was privatized and listed on the London Stock Exchange?","['privatised', 'privatized']",British Airways,,,0.9972547,0.9935337
trivia_qa,11149,syntactic,"In February 1987, which UK airline was privatised and listed on the London Stock Exchange?",Which UK airline was privatised and listed on the London Stock Exchange in February 1987?,Which British airline was privatized and listed on the London Stock Exchange in February 1987?,Changed from a prepositional phrase at the beginning to a direct question,British Airways,,,0.9882323,0.9824056
trivia_qa,11149,voice,"In February 1987, which UK airline was privatised and listed on the London Stock Exchange?",Which UK airline was privatised and listed on the London Stock Exchange in February 1987?,Which British airline was privatized and listed on the London Stock Exchange in February 1987?,active to passive,British Airways,,,0.9882323,0.9824056
trivia_qa,11149,formality,"In February 1987, which UK airline was privatised and listed on the London Stock Exchange?",Which British airline got sold off and put on the London Stock Exchange in February 1987?,Which British airline was sold and listed on the London Stock Exchange in February 1987?,formal to casual,British Airways,,,0.9564123,0.97252005
trivia_qa,9105,lexical,In which UK city is Great Victoria Street railway station,In which United Kingdom city is Great Victoria Street railway station,In which city in the United Kingdom is the Great Victoria Street railway station located?,,Belfast,,,0.9873329,0.9511049
trivia_qa,9105,syntactic,In which UK city is Great Victoria Street railway station,Can you tell me the UK city where Great Victoria Street railway station is located?,Can you tell me in which city in the United Kingdom is the Great Victoria Street railway station located?,Changed from a prepositional phrase to an embedded question,Belfast,,,0.9230789,0.92983776
trivia_qa,9105,voice,In which UK city is Great Victoria Street railway station,Which UK city is Great Victoria Street railway station in?,In which city in the United Kingdom is the Great Victoria Street railway station located?,active to passive,Belfast,,,0.96504635,0.9511049
trivia_qa,9105,formality,In which UK city is Great Victoria Street railway station,What city in the UK is Great Victoria Street railway station located in?,In which city in the United Kingdom is the Great Victoria Street railway station located?,formal to casual,Belfast,,,0.95177984,0.9511049
trivia_qa,5094,lexical,In what city would you find Yale University?,In which city would you locate Yale University?,In which city would you locate Yale University?,"['find', 'locate']",New Haven,,,0.97273636,0.97273636
